fips,year,laborfc,employed,unemplvl,unemprate
5081,2015,5584,5280,304,5.4
5083,2015,9150,8625,525,5.7
5085,2015,32939,31561,1378,4.2
5087,2015,7070,6798,272,3.8
5089,2015,6513,6176,337,5.2
5091,2015,19874,18882,992,5
5093,2015,18310,16663,1647,9
5095,2015,2969,2790,179,6
5097,2015,3253,3034,219,6.7
5099,2015,3653,3472,181,5
5101,2015,3388,3224,164,4.8
5103,2015,9921,9296,625,6.3
5105,2015,4194,3937,257,6.1
5107,2015,6983,6455,528,7.6
5109,2015,4207,3961,246,5.8
5111,2015,10046,9485,561,5.6
5113,2015,8313,7834,479,5.8
5115,2015,29710,28147,1563,5.3
5117,2015,3722,3548,174,4.7
5119,2015,185721,177247,8474,4.6
5121,2015,6175,5734,441,7.1
5123,2015,8940,8296,644,7.2
5125,2015,55892,53618,2274,4.1
5127,2015,4519,4304,215,4.8
5129,2015,3021,2851,170,5.6
5131,2015,57625,54862,2763,4.8
5133,2015,5655,5313,342,6
5135,2015,5994,5581,413,6.9
5137,2015,4696,4403,293,6.2
5139,2015,16901,15869,1032,6.1
5141,2015,6416,5986,430,6.7
5143,2015,115028,110974,4054,3.5
5145,2015,34483,32344,2139,6.2
5147,2015,3025,2832,193,6.4
5149,2015,8948,8495,453,5.1
6001,2015,818947,780110,38837,4.7
6003,2015,548,508,40,7.3
6005,2015,14315,13370,945,6.6
6007,2015,101046,93792,7254,7.2
6009,2015,20546,19236,1310,6.4
6011,2015,11042,9344,1698,15.4
6013,2015,544572,517190,27382,5
6015,2015,9852,9011,841,8.5
6017,2015,87880,82863,5017,5.7
6019,2015,440126,395282,44844,10.2
6021,2015,12959,11830,1129,8.699999999999999
6023,2015,62280,58798,3482,5.6
6025,2015,76651,57880,18771,24.5
6027,2015,9080,8554,526,5.8
6029,2015,389978,350147,39831,10.2
6031,2015,57703,51642,6061,10.5
6033,2015,29000,26798,2202,7.6
6035,2015,10758,9981,777,7.2
6037,2015,4980324,4650739,329585,6.6
6039,2015,59781,53495,6286,10.5
6041,2015,138683,133755,4928,3.6
6043,2015,8009,7438,571,7.1
6045,2015,39826,37510,2316,5.8
6047,2015,114003,101058,12945,11.4
6049,2015,3302,3020,282,8.5
6051,2015,8238,7734,504,6.1
6053,2015,218201,200504,17697,8.1
6055,2015,73715,70309,3406,4.6
6057,2015,48002,45400,2602,5.4
6059,2015,1584258,1513475,70783,4.5
6061,2015,176321,167413,8908,5.1
6063,2015,7888,7078,810,10.3
6065,2015,1033286,964088,69198,6.7
6067,2015,684493,643471,41022,6
6069,2015,29752,27503,2249,7.6
6071,2015,919166,859967,59199,6.4
6073,2015,1548611,1468089,80522,5.2
6075,2015,541430,521710,19720,3.6
6077,2015,314300,286358,27942,8.9
6079,2015,138909,132340,6569,4.7
6081,2015,434254,419424,14830,3.4
6083,2015,217139,205647,11492,5.3
6085,2015,1012212,970215,41997,4.1
6087,2015,143192,132470,10722,7.5
6089,2015,74104,68344,5760,7.8
6091,2015,1361,1242,119,8.699999999999999
6093,2015,17877,16203,1674,9.4
6095,2015,204832,192289,12543,6.1
6097,2015,257647,246095,11552,4.5
6099,2015,240897,218031,22866,9.5
6101,2015,44714,39936,4778,10.7
6103,2015,25014,23036,1978,7.9
6105,2015,5139,4740,399,7.8
6107,2015,202026,178541,23485,11.6
6109,2015,21528,20011,1517,7
6111,2015,427196,403089,24107,5.6
6113,2015,104138,97411,6727,6.5
6115,2015,27716,25142,2574,9.300000000000001
8001,2015,247734,236920,10814,4.4
8003,2015,7651,7254,397,5.2
8005,2015,334282,321765,12517,3.7
8007,2015,6010,5766,244,4.1
8009,2015,1969,1929,40,2
8011,2015,1732,1663,69,4
8013,2015,176721,171087,5634,3.2
8014,2015,35530,34350,1180,3.3
8015,2015,8491,8200,291,3.4
8017,2015,1010,983,27,2.7
8019,2015,5543,5339,204,3.7
8021,2015,3598,3392,206,5.7
8023,2015,1622,1518,104,6.4
8025,2015,1352,1292,60,4.4
8027,2015,1987,1917,70,3.5
8029,2015,13441,12669,772,5.7
8031,2015,375501,361560,13941,3.7
8033,2015,1323,1281,42,3.2
8035,2015,172105,166747,5358,3.1
8037,2015,32737,31705,1032,3.2
8039,2015,13257,12838,419,3.2
8041,2015,307619,293427,14192,4.6
8043,2015,14500,13601,899,6.2
8045,2015,30462,29192,1270,4.2
8047,2015,3397,3291,106,3.1
8049,2015,9052,8759,293,3.2
8051,2015,9788,9498,290,3
8053,2015,440,426,14,3.2
8055,2015,2370,2186,184,7.8
8057,2015,834,803,31,3.7
8059,2015,308779,297832,10947,3.5
8061,2015,790,769,21,2.7
8063,2015,4318,4214,104,2.4
8065,2015,4567,4389,178,3.9
8067,2015,29850,28816,1034,3.5
8069,2015,180535,174533,6002,3.3
8071,2015,6127,5782,345,5.6
8073,2015,2168,2094,74,3.4
8075,2015,10929,10594,335,3.1
8077,2015,71795,67800,3995,5.6
8079,2015,445,429,16,3.6
8081,2015,7104,6780,324,4.6
8083,2015,12337,11633,704,5.7
8085,2015,19324,18344,980,5.1
8087,2015,14665,14105,560,3.8
8089,2015,7882,7423,459,5.8
8091,2015,2153,2060,93,4.3
8093,2015,9366,9042,324,3.5
8095,2015,2356,2300,56,2.4
8097,2015,10735,10318,417,3.9
8099,2015,5811,5575,236,4.1
8101,2015,71695,67626,4069,5.7
8103,2015,2807,2658,149,5.3
8105,2015,4865,4557,308,6.3
8107,2015,14275,13809,466,3.3
8109,2015,3078,2888,190,6.2
8111,2015,470,450,20,4.3
8113,2015,5072,4879,193,3.8
8115,2015,1146,1107,39,3.4
8117,2015,20554,20032,522,2.5
8119,2015,11402,10891,511,4.5
8121,2015,2784,2712,72,2.6
8123,2015,147740,142027,5713,3.9
8125,2015,5130,4995,135,2.6
9001,2015,478829,453172,25657,5.4
9003,2015,474171,446356,27815,5.9
9005,2015,105193,99752,5441,5.2
9007,2015,92122,87571,4551,4.9
9009,2015,454890,426557,28333,6.2
9011,2015,136120,128030,8090,5.9
9013,2015,85088,80865,4223,5
9015,2015,62583,58612,3971,6.3
10001,2015,76253,72145,4108,5.4
10003,2015,291188,277487,13701,4.7
10005,2015,98047,93224,4823,4.9
11001,2015,389101,362304,26797,6.9
12001,2015,129266,123302,5964,4.6
12003,2015,11152,10530,622,5.6
12005,2015,87379,82599,4780,5.5
12007,2015,10725,10207,518,4.8
12009,2015,255977,240638,15339,6
12011,2015,986384,935820,50564,5.1
12013,2015,4932,4630,302,6.1
12015,2015,67537,63481,4056,6
12017,2015,47723,44135,3588,7.5
12019,2015,98277,93321,4956,5
12021,2015,163394,154808,8586,5.3
12023,2015,28924,27332,1592,5.5
12027,2015,13354,12578,776,5.8
12029,2015,5576,5229,347,6.2
12031,2015,459730,433044,26686,5.8
12033,2015,137865,130169,7696,5.6
12035,2015,43593,40852,2741,6.3
12037,2015,4764,4540,224,4.7
12039,2015,18178,16870,1308,7.2
12041,2015,6487,6119,368,5.7
12043,2015,4702,4366,336,7.1
12045,2015,5984,5669,315,5.3
12047,2015,4514,4221,293,6.5
12049,2015,10072,9368,704,7
12051,2015,15069,13466,1603,10.6
12053,2015,65979,61388,4591,7
12055,2015,35276,32631,2645,7.5
12057,2015,688082,653305,34777,5.1
12059,2015,6680,6269,411,6.2
12061,2015,61105,56918,4187,6.9
12063,2015,17280,16261,1019,5.9
12065,2015,5365,5045,320,6
12067,2015,3199,3052,147,4.6
12069,2015,140535,132786,7749,5.5
12071,2015,318777,302326,16451,5.2
12073,2015,147291,139884,7407,5
12075,2015,16416,15467,949,5.8
12077,2015,2634,2479,155,5.9
12079,2015,7461,7003,458,6.1
12081,2015,164586,156243,8343,5.1
12083,2015,129944,121503,8441,6.5
12085,2015,69371,65647,3724,5.4
12086,2015,1297545,1220715,76830,5.9
12087,2015,45697,44105,1592,3.5
12089,2015,36493,34618,1875,5.1
12091,2015,91566,87418,4148,4.5
12093,2015,17217,16132,1085,6.3
12095,2015,684810,650412,34398,5
12097,2015,156990,147922,9068,5.8
12099,2015,689637,654384,35253,5.1
12101,2015,214981,202354,12627,5.9
12103,2015,469790,446528,23262,5
12105,2015,279437,261765,17672,6.3
12107,2015,27214,25136,2078,7.6
12109,2015,113170,108708,4462,3.9
12111,2015,131063,122711,8352,6.4
12113,2015,73829,70258,3571,4.8
12115,2015,177492,168491,9001,5.1
12117,2015,236207,224575,11632,4.9
12119,2015,28580,26381,2199,7.7
12121,2015,17903,16926,977,5.5
12123,2015,8963,8361,602,6.7
12125,2015,4727,4497,230,4.9
12127,2015,238220,224287,13933,5.8
12129,2015,13934,13284,650,4.7
12131,2015,27791,26485,1306,4.7
12133,2015,9592,9021,571,6
13001,2015,8638,8004,634,7.3
13003,2015,3849,3627,222,5.8
13005,2015,4875,4594,281,5.8
13007,2015,1120,1038,82,7.3
13009,2015,17678,16318,1360,7.7
13011,2015,8187,7729,458,5.6
13013,2015,35970,34070,1900,5.3
13015,2015,46662,43905,2757,5.9
